Verb,mw export,before,after,before,after,lojbo,Verb,Basic selbrivla?,Semantic class,Semantic class,Semantic class,English Frame,pre,x1,1,x2,2,x3,3,x4,4,x5,post,explanation,place1,place2,place3,place4,place5,related words,x1 type,x2 type,x3 type,x4 type,x5 type,verb1,verb2,verb3,Shown arity less than official?,English 2002's official definition,official arity
badri,"
'''badri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is sad about  ''x<sub>2</sub><sub>(clause, property of x1)</sub>'' 
:'''lo badri''' — sad. '''lo se badri''' — sad event. 
:'''i mi pu badri lo nu mi pu e'ande le fetsi lo ka zukte ma kau''' — ''I was sad of what I had allowed her to do.''
:Related words: {klaku}, {gleki}, {betri}, {cinmo}, {junri}",,,,,x1 cinmo lo ka to'e se pluka x2 .i x1 to'e gleki x2,badri,yes,,Psycho. Emotion,,,,x<sub>1</sub>,is sad about ,x<sub>2</sub>,,,,,,,,,sad,sad event,,,,"{klaku}, {gleki}, {betri}, {cinmo}, {junri}",entity,"clause, property of x1",,,,,,,,"x1 is sad/depressed/dejected/[unhappy/feels sorrow/grief] about x2 (abstraction) ||| (cf. klaku, gleki, betri, cinmo, junri)",2
caucni,"
'''caucni''' — ''x<sub>1</sub><sub>(entity)</sub>''  misses, feels the lack of  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''i mi caucni do''' — ''I miss you.''
:Related words: {claxu}, {cinmo}, {badri}, {klaku}, {gleki}, {betri}",,,,,,caucni,yes,,Psycho. Emotion,,,,x<sub>1</sub>,"misses, feels the lack of ",x<sub>2</sub>,,,,,,,,,,,,,,"{claxu}, {cinmo}, {badri}, {klaku}, {gleki}, {betri}",entity,entity,,,,miss (to feel the lack of) [to],,,,,
bajra,"
'''bajra''' — ''x<sub>1</sub><sub>(entity)</sub>''  runs on surface  ''x<sub>2</sub><sub>(entity)</sub>''  using limbs  ''x<sub>3</sub><sub>(entity)</sub>''  ...
:'''lo bajra''' — runner. 
:'''i mi bajra vi'i lo mitre be li ci ki'o''' — ''I ran three thousands meters.''
:'''i xu do su'o roi senva lo ka bajra lo jdika grana loi xance be do''' — ''Have you ever dreamt of running on your hands on a narrow rod?''
:Comment: doesn't necessarily imply any destination point. {bajra} {muvdu} can be used to describe both moving to and from some places by running.
:Related words: {cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}",,,,,x1 litru x2 x3 noi tuple x1 ku'o ta'i lo nu su'o roi ro nu stapa kei no lo tuple cu pencu lo loldi,bajra,yes,,,Actions. Movement,STAPA+,,x<sub>1</sub>,runs on surface ,x<sub>2</sub>,using limbs ,x<sub>3</sub>,,,,,,doesn't necessarily imply any destination point. {bajra} {muvdu} can be used to describe both moving to and from some places by running.,runner,,,,,"{cadzu}, {klama}, {litru}, {stapa}, {plipe}, {cpare}",entity,entity,entity,,,run [to],,, ...,"x1 runs on surface x2 using limbs x3 with gait x4 ||| (cf. cadzu, klama, litru, stapa, plipe, cpare)",4
bakfu,"
'''bakfu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pack or bundle containing  ''x<sub>2</sub><sub>(entity group)</sub>''  held together by  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''lo bakfu''' — pack, bundle. '''lo se bakfu''' — content of a pack. 
:'''i ti bakfu lo se dunda lo dasri''' — ''This is a gift packed with a ribbon into a bundle.''
:Related words: {daski}, {dakli}, {tanxe}",,,,,,bakfu,yes,General. Containers,,,,,x<sub>1</sub>,is a pack or bundle containing ,x<sub>2</sub>,held together by ,x<sub>3</sub>,,,,,,,"pack, bundle",content of a pack,,,,"{daski}, {dakli}, {tanxe}",entity,entity group,entity,,,,,,,"x1 is a bundle/package/cluster/clump/pack [shape/form] containing x2, held together by x3 ||| (cf. daski, dakli, tanxe)",3
bakni,"
'''bakni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a cow or bovine of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bakni''' — cow. 
:'''i mu bakni cu zvati le purdi''' — ''There are five cows in the garden.''
:Related words: {danlu}",,,,,x1 rapmarxa mabru x2 noi jutsi la'o jutygunma Bos jutygunma,bakni,yes,Living. Mammals,,,,,x<sub>1</sub>,is a cow or bovine of species ,x<sub>2</sub>,,,,,,,,,cow,,,,,{danlu},entity,taxon,,,,,,,,x1 is a cow/cattle/kine/ox/[bull/steer/calf] [beef-producer/bovine] of species/breed x2 ||| (cf. danlu),2
bakri,"
'''bakri''' — ''x<sub>1</sub><sub>(entity)</sub>''  is some chalk ...
:'''lo bakri''' — chalk. 
:'''i mi xebni lo bakri i ki'u bo ri punji lo purmo lo xance''' — ''I hate chalk. It leaves powder on hands.''
:Related words: {pinsi}, {blabi}, {jilka}",,,,,,bakri,yes,,Universe. Materials & substances,,,,x<sub>1</sub>,is some chalk,,,,,,,,,,chalk,,,,,"{pinsi}, {blabi}, {jilka}",entity,,,,,,,, ...,"x1 is a quantity of/contains/is made of chalk from source x2 in form x3 ||| (cf. pinsi, blabi, jilka)",3
baktu,"
'''baktu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a pail, bucket containing  ''x<sub>2</sub><sub>(entity)</sub>''  ...
:'''lo baktu''' — bucket, pail. '''lo se baktu''' — contents of a bucket. 
:'''i ko bevri le baktu be lo festi fo le dinju''' — ''Take the pail of bucket out of the house.''
:Related words: {botpi}, {patxu}, {tansi}, {lante}, {lanka}",,,,,x1 condi vautci x2 gi'e marji x3 gi'e barda je gapru kalri gi'e ka'e se pilno fi lo nu bevri x2,baktu,yes,General. Containers (material),,,,,x<sub>1</sub>,"is a pail, bucket containing ",x<sub>2</sub>,,,,,,,,,"bucket, pail",contents of a bucket,,,,"{botpi}, {patxu}, {tansi}, {lante}, {lanka}",entity,entity,,,,,,, ...,"x1 is a bucket/pail/can/deep, solid, wide-topped container of contents x2, made of material x3 ||| (cf. botpi, patxu, tansi, lante, lanka)",3
balji,"
'''balji''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bulb of plant  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo balji''' — bulb (of a plant). 
:'''i ra pu sombo pa balji be lo flora le purdi''' — ''She planted a flower bulb in the garden.''
:Related words: {spati}",,,,,,balji,yes,Living. Botanical anatomy,,,,,x<sub>1</sub>,is a bulb of plant ,x<sub>2</sub>,,,,,,,,,bulb (of a plant),,,,,{spati},entity,taxon,,,,,,,,"x1 is a bulb [body-part] of plant/species x2; [metaphor: rounded, bulgy] ||| (cf. punli, batke)",2
balnema,"
'''balnema''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a baleen whale of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo balnema''' — baleen whale. 
:'''i lei litru ca'o zgana lo melbi nu muvdu fa le balnema''' — ''The tourists are watching the graceful movement of a baleen whale.''",,,,,,balnema,yes,Living. Mammals,,,,,x<sub>1</sub>,is a baleen whale of species ,x<sub>2</sub>,,,,,,,,,baleen whale,,,,,,entity,taxon,,,,,,,,,
balni,"
'''balni''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a balcony or shelf of structure  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo balni''' — balcony. '''lo se balni''' — building with a balcony. 
:'''i mi cpana lo balni be le mi zdani''' — ''I am on the balcony of my home.''
:'''i lo jvinu be fi le balni cu melbi''' — ''The view from the balcony is beautiful.''
:Related words: {kajna}",,,,,x1 galtu tsina je barku'e x2,balni,yes,Socio. Buildings. Architecture,,,,,x<sub>1</sub>,is a balcony or shelf of structure ,x<sub>2</sub>,,,,,,,,,balcony,building with a balcony,,,,{kajna},entity,entity,,,,,,,,x1 is a balcony/overhang/ledge/shelf of building/structure x2 ||| (cf. kajna),2
balre,"
'''balre''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a blade of tool or weapon  ''x<sub>2</sub><sub>(entity)</sub>'' 
:'''lo balre''' — blade. '''lo se balre''' — tool with a blade, weapon with a blade. 
:'''i le balre be le dakfu cu kinli''' — ''The blade of the knife is sharp.''
:Related words: {dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}",,,,,x1 plita je kinli pagbu x2 noi tutci ja xarci gi'e se pilno fi lo ka katna ja guska ja tunta,balre,yes,Socio. Tools,,,,,x<sub>1</sub>,is a blade of tool or weapon ,x<sub>2</sub>,,,,,,,,,blade,"tool with a blade, weapon with a blade",,,,"{dakfu}, {tunta}, {tutci}, {guska}, {kinli}, {katna}",entity,entity,,,,,,,,"x1 is a blade of tool/weapon x2 ||| (cf. dakfu, tunta, tutci, guska, kinli, katna)",2
balvi,"
'''balvi''' — ''x<sub>1</sub><sub>(clause)</sub>''  is in the future of  ''x<sub>2</sub><sub>(clause)</sub>'' ; x<sub>1</sub> is later than x<sub>2</sub>
:'''lo balvi''' — later event, future event. '''lo se balvi''' — earlier event, past event. 
:'''i lo nu la kevin cu cliva pu balvi lo nu mi tsuku le xotli''' — ''Kevin left, and that happened after my arrival to the hotel.''
:Related words: {lidne}, {cabna}, {purci}, {farna}",,,,,x1 se lidne x2 lo'e temci porsi .i x1 se purci x2,balvi,yes,Measures. Points in time,,,,,x<sub>1</sub>,is in the future of ,x<sub>2</sub>,,,,,,,x<sub>1</sub> is later than x<sub>2</sub>,,"later event, future event","earlier event, past event",,,,"{lidne}, {cabna}, {purci}, {farna}",clause,clause,,,,,,,,"x1 is in the future of/later than/after x2 in time sequence; x1 is latter; x2 is former ||| [also sequel, succeed, successor, follow, come(s) after; time ordering only (use lidne otherwise); aorist in that x1 may overlap in time with x2 as long as it extends afterwards; non-aorist future (= cfabalvi); (default x2 is the space time reference, whereupon:) x1 will occur]; (cf. lidne, cabna, purci, farna)",2
bambola,"
'''bambola''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a doll
:'''lo bambola''' — doll. 
:'''i le nixli cu nelci tu noi bambola''' — ''The girl likes that doll.''
:Related words: {keltci}, {kelci}",,,,,,bambola,yes,Socio. Actions,,,,,x<sub>1</sub>,is a doll,,,,,,,,,,doll,,,,,"{keltci}, {kelci}",entity,,,,,,,,,,
bambu,"
'''bambu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bamboo of variety  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo bambu''' — bamboo. 
:'''i le bambu cu torni lo brife''' — ''Bamboo bends before the wind.''
:Related words: {spati}, {tricu}",,,,,,bambu,yes,Living. Plants (non-edible by default),,,,,x<sub>1</sub>,is a bamboo of variety ,x<sub>2</sub>,,,,,,,,,bamboo,,,,,"{spati}, {tricu}",entity,taxon,,,,,,,,,
bancu,"
'''bancu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is beyond boundary  ''x<sub>2</sub><sub>(same type as x1)</sub>''  from  ''x<sub>3</sub><sub>(same type as x1)</sub>''  in  ''x<sub>4</sub><sub>(property of x1)</sub>'' 
:'''i da lalxu gi'e bancu le tcadu''' — ''There is a lake beyond the city.''
:'''i lo tai fasnu cu bancu lo se kakne be mi''' — ''Such things are beyond my powers.''
:'''i le zdani cu bancu le vu tricu ti lo ka darno ti''' — ''The house is beyond those trees from here in how far it is from here.''
:Related words: {zildukse}, {ragve}, {zmadu}, {kuspe}",,,,,x1 zmadu x2 lo ka ce'u darno x3 x4,bancu,yes,Actions. General comparisons,,,,,x<sub>1</sub>,is beyond boundary ,x<sub>2</sub>,from ,x<sub>3</sub>,in ,x<sub>4</sub>,,,,,,,,,,"{zildukse}, {ragve}, {zmadu}, {kuspe}",entity,same type as x1,same type as x1,property of x1,,,,,,"x1 exceeds/is beyond limit/boundary x2 from x3 in property/amount x4 (ka/ni) ||| [on the other side of a bound, but not necessarily directly 'across' nor at the shortest plausible distance (per ragve); also not limited to position in space]; (cf. dukse, ragve, zmadu, kuspe)",4
bandu,"
'''bandu''' — ''x<sub>1</sub><sub>(clause)</sub>''  defends  ''x<sub>2</sub><sub>(entity)</sub>''  from threat  ''x<sub>3</sub><sub>(property of x2)</sub>'' 
:'''i lo nu brife e lo nu carvi cu bandu le dinju lo ka jelca''' — ''Wind and rain protect the house from burning.''
:Related words: {ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}",,,,,x1 rinka lo nu x2 snura x3 .i x1 fapro x3 noi gunta x2,bandu,yes,Actions. Safety,,,,,x<sub>1</sub>,defends ,x<sub>2</sub>,from threat ,x<sub>3</sub>,,,,,,,,,,,,"{ckape}, {fanta}, {fapro}, {marbi}, {rivbi}, {zunti}, {snura}, {binra}, {lunbe}, {pulji}",clause,entity,property of x2,,,defend [to],,,,"x1 (event) defends/protects x2 (object/state) from threat/peril/potential x3 (event) ||| [also secures (verb); x1 wards/resists x3; protective cover/shield (= badgai)]; (cf. ckape, fanta, fapro, marbi, rivbi, zunti, snura, binra, lunbe, pulji)",3
banfi,"
'''banfi''' — ''x<sub>1</sub><sub>(entity)</sub>''  is an amphibian of species  ''x<sub>2</sub><sub>(taxon)</sub>'' 
:'''lo banfi''' — amphibian. 
:'''i lo remna cu simsa lo banfi lo ka se tarmi''' — ''Humans look like amphibians.''
:Related words: {danlu}, {respa}",,,,,x1 lekselblu bogda'u x2 .i lo cifnu cu na'o xabju lo djacu gi'e pilno lo jacyfepri lo ka vasxu .i lo makcu cu na'o pi mu si'e tumxa'u gi'e pilno lo fepri lo nu vasxu pa'o lo cilmo je cigla pilka,banfi,yes,Living. Vertebrates,,,,,x<sub>1</sub>,is an amphibian of species ,x<sub>2</sub>,,,,,,,,,amphibian,,,,,"{danlu}, {respa}",entity,taxon,,,,,,,,"x1 is an amphibian of species/breed x2 ||| (cf. danlu, respa)",2
bangu,"
'''bangu''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a language used by  ''x<sub>2</sub><sub>(entity)</sub>''  to express  ''x<sub>3</sub><sub>(proposition)</sub>'' 
:'''lo bangu''' — language. '''lo se bangu''' — user of a language. 
:'''i xu do se bangu la lojban''' — ''Do you speak Lojban?''
:'''i le nanmu pu pilno lo bangu be fi lo mabla''' — ''The man used foul language.''
:Comment: x<sub>2</sub> are usually live beings or computer programs.
:Related words: {tance}, {cusku}, {ve} {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka}",,,,,x1 gunma lo valsi jo'u lo ciste be ri bei lo ka x2 pilno ri ma'i ce'u lo ka cusku lo se smuni be x3,bangu,yes,Socio. Culture. Language grammar,,has full-set/member place,,,x<sub>1</sub>,is a language used by ,x<sub>2</sub>,to express ,x<sub>3</sub>,,,,,,x<sub>2</sub> are usually live beings or computer programs.,language,user of a language,,,,"{tance}, {cusku}, {ve} {tavla}, {valsi}, {gerna}, {jufra}, {natmi}, {slaka}",entity,entity,proposition,,,,speak language [to],,,"x1 is a/the language/dialect used by x2 to express/communicate x3 (si'o/du'u, not quote) ||| [also tongue]; (cf. tance, cusku, ve tavla, valsi, gerna, jufra, natmi, slaka)",3
banli,"
'''banli''' — ''x<sub>1</sub><sub>(entity)</sub>''  is great, magnificent in  ''x<sub>2</sub><sub>(property of x1)</sub>''  ...
:'''lo banli''' — great (superior). 
:'''i le xamsi cu banli lo ka se jvinu ma kau le kumfa be le xotli''' — ''The sea looks magnificent from the hotel room.''
:Related words: {barda}, {nobli}, {se} {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, {marvele}",,,,,x1 mutce lo ka jai se manci ja se sinma fai x2 gi'a vajni fi x2,banli,yes,Measures. Size & weight (subjective),,,ZABNA,,x<sub>1</sub>,"is great, magnificent in ",x<sub>2</sub>,,,,,,,,,great (superior),,,,,"{barda}, {nobli}, {se} {sinma}, {pluja}, {misno}, {vajni}, {fasnu}, {cizra}, {traji}, {mutce}, {marvele}",entity,property of x1,,,,,,, ...,"x1 is great/grand in property x2 (ka) by standard x3 ||| [indicates a subjective greatness, as compared to the objective standard implied for barda; (synonyms, possibly requiring tanru:) extraordinary, illustrious, magnificent, impressive, awesome, grandiose, august, inspiring, special, majestic, distinguished, eminent, splendor, stately, imposing (all generally zabna); terrible (mabla)]; (cf. barda, nobli, se sinma, pluja, misno, vajni, fasnu, cizra, traji, mutce, se manci)",3
banro,"
'''banro''' — ''x<sub>1</sub><sub>(entity)</sub>''  grows to size or into form  ''x<sub>2</sub><sub>(entity)</sub>''  from  ''x<sub>3</sub><sub>(entity)</sub>'' 
:'''i le spati ca'o banro lo tricu lo se katna jimca''' — ''The plant is growing into a tree from a cut off branch.''
:Related words: {farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}",,,,,x1 zenba lo ka barda kei co'u lo nu x2 tarmi ja nilbra x1 kei co'a lo nu x3 tarmi ja nilbra x1,banro,yes,General. Growth,Development & age,,,,x<sub>1</sub>,grows to size or into form ,x<sub>2</sub>,from ,x<sub>3</sub>,,,,,,,,,,,,"{farvi}, {zenba}, {jmina}, {barda}, {makcu}, {ferti}",entity,entity,entity,,,grow [to],,,,"x1 grows/expands [an increasing development] to size/into form x2 from x3 ||| [also rising, developing; x1 gets bigger/enlarges/increases]; (cf. farvi, zenba, jmina, barda, makcu, ferti)",3
banxa,"
'''banxa''' — ''x<sub>1</sub><sub>(entity)</sub>''  is a bank owned by  ''x<sub>2</sub><sub>(entity)</sub>''  for banking functions  ''x<sub>3</sub><sub>(clause)</sub>'' 
:'''lo banxa''' — bank. '''lo se banxa''' — bank owner, bank system. '''lo te banxa''' — function of bank. 
:'''i ti banxa le gugde lo ka canja fo lo kagni i je to'u ti banxa fi lo kagni''' — ''This bank owned by state works with companies, in short, this is a commercial bank.''
:Comment: x<sub>2</sub> can be a banking system.
:Related words: {sorcu}, {zarci}, {canja}, {kagni}",,,,,x1 kagni x2 x3 noi cpacu ja te jbera ja canja ja marbi lo jdini gi'a su'o roi te jdini,banxa,yes,"Socio. Money, trade etc",,,,,x<sub>1</sub>,is a bank owned by ,x<sub>2</sub>,for banking functions ,x<sub>3</sub>,,,,,,x<sub>2</sub> can be a banking system.,bank,"bank owner, bank system",function of bank,,,"{sorcu}, {zarci}, {canja}, {kagni}",entity,entity,clause,,,,,,,"x1 is a bank owned by/in banking system x2 for banking function(s) x3 (event) ||| (cf. sorcu, zarci, canja, kagni)",3
banzu,"
'''banzu''' — ''x<sub>1</sub><sub>(clause)</sub>''  is enough for purpose  ''x<sub>2</sub><sub>(clause)</sub>''  to take place ...
:'''i lo nu mi tavla fo la lojban na banzu lo nu mi jimpe do''' — ''My level of speaking Lojban isn't enough to understand you.''
:'''i lo nu do ca klama cu da'i banzu lo nu do tsuku ca le se tcika''' — ''Leaving now would be enough for you to arrive on time.''
:'''i banzu lo se djica be mi''' — ''It's enough for me.''
:Related words: {zildukse}, {claxu}, {nitcu}, {ricfu}, {e'ande}",,,,,lo nu x1 narfau cu sarcu lo nu x2 narfau,banzu,yes,,Measures. Amounts,,,,x<sub>1</sub>,is enough for purpose ,x<sub>2</sub>,to take place,,,,,,,,,,,,,"{zildukse}, {claxu}, {nitcu}, {ricfu}, {e'ande}",clause,clause,,,,suffice (be enough) [to],,, ...,"x1 (object) suffices/is enough/sufficient for purpose x2 under conditions x3 ||| (cf. dukse, claxu, nitcu, ricfu, curmi)",3
bapli,"
'''bapli''' — ''x<sub>1</sub><sub>(clause)</sub>''  forces, convinces  ''x<sub>2</sub><sub>(clause)</sub>''  to occur
:'''lo bapli''' — force. 
:'''i le tcima pu bapli lo nu le nakni cu stali lo zdani''' — ''The violent weather forced him to stay at home.''
:'''i le snuti pu bapli lo nu le prenu cu zenba co jundi''' — ''The accident convinced him to be more careful.''
:Related words: {fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {tolpro}, {danre}, {bai}, {marxa}, {tinsa}, {xarnu}",,,,,x1 vlipa je rinka x2,bapli,yes,,Actions. Event causation,,,,x<sub>1</sub>,"forces, convinces ",x<sub>2</sub>,to occur,,,,,,,,force,,,,,"{fanta}, {rinju}, {jimte}, {jitro}, {rinka}, {krinu}, {zukte}, {tolpro}, {danre}, {bai}, {marxa}, {tinsa}, {xarnu}",clause,clause,,,,"force [to], convince [to]",,,,"x1 [force] (ka) forces/compels event x2 to occur; x1 determines property x2 to manifest ||| [also constrains; requires success, unlike the physics term (better expressed by danre)]; (cf. fanta, rinju, jimte, jitro, rinka, krinu, zukte, randa, danre, cmavo list bai, marxa, tinsa, xarnu)",2
barda,"
'''barda''' — ''x<sub>1</sub><sub>(entity)</sub>''  is big, large in length/width etc.  ''x<sub>2</sub><sub>(property of x1)</sub>''  ...
:'''lo barda''' — large, big. 
:'''i le tanxe pu barda lo ka se canlu''' — ''The box occupied large space.''
:'''i le nu penmi pu barda lo ka se ditcu''' — ''The meeting lasted for a large amount of time.''
:Related words: {banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}",,,,,x1 zmadu lo cnano be x2 bei x3 be'o x2 noi cimde x1,barda,yes,Measures. Size & weight (subjective),,,,,x<sub>1</sub>,"is big, large in length/width etc. ",x<sub>2</sub>,,,,,,,,,"large, big",,,,,"{banli}, {clani}, {ganra}, {condi}, {plana}, {cmalu}, {rotsu}, {banro}, {xanto}",entity,property of x1,,,,,,, ...,"x1 is big/large in property/dimension(s) x2 (ka) as compared with standard/norm x3 ||| (cf. banli, clani, ganra, condi, plana, cmalu, rotsu, banro, xanto)",3
