particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,definition,particle,mw export,particle,1,2,3 (comm.),1,4 (links),krama'o,mijma'o,famyma'o,S,Basic cmavo?,K,L,gloss ja'ai,gloss cu'i,gloss nai,,,,
bau,"
'''bau''' <small>[preposition]</small> — @@@in language ...@@@
:'''i mi tavla bau la lojban''' — ''I talk in Lojban language.''
:Comment: in the clause where {bau} is used x<sub>1</sub> is user of the language, the clause itself describes what is expressed in this language.",bau,preposition,@@@in language ...@@@,"in the clause where {bau} is used x<sub>1</sub> is user of the language, the clause itself describes what is expressed in this language",preposition from {bangu},,,,,BAI,yes,preposition,,in language ...,,,"bangu modal, 1st place in language ...",bau,"
'''bau''' <small>[preposition]</small> — @@@in language ...@@@
:'''i mi tavla bau la lojban''' — ''I talk in Lojban language.''
:Comment: in the clause where {bau} is used x<sub>1</sub> is user of the language, the clause itself describes what is expressed in this language.",bau,preposition,@@@in language ...@@@,"in the clause where {bau} is used x<sub>1</sub> is user of the language, the clause itself describes what is expressed in this language",preposition from {bangu},,,,,BAI,yes,preposition,,in language ...,,,,,,
be'i,"
'''be'i''' <small>[preposition from {benji}]</small> — @@@sent by ...@@@
:'''i ti me lo se dunda ne be'i la kevin''' — ''This a present sent by Kevin.''",be'i,preposition from {benji},@@@sent by ...@@@,,preposition from {benji},,,,,BAI,yes,preposition,,sent by ...,,,"benji modal, 1st place (sender) sent by ...",be'i,"
'''be'i''' <small>[preposition from {benji}]</small> — @@@sent by ...@@@
:'''i ti me le se dunda ne be'i la kevin''' — ''This a present sent by Kevin.''",be'i,preposition from {benji},@@@sent by ...@@@,,preposition from {benji},,,,,BAI,yes,preposition,,sent by ...,,,,,,
,---,ca'i,preposition from {catni},@@@by authority of ...@@@,,preposition from {catni},,,,,BAI,,preposition,,by authority of ...,,,"catni modal, 1st place by authority of ...",,---,ca'i,preposition from {catni},@@@by authority of ...@@@,,preposition from {catni},,,,,BAI,,preposition,,by authority of ...,,,,,,
cau,"
'''cau''' <small>[preposition from {claxu}]</small> — @@@lacked by ...@@@",cau,preposition from {claxu},@@@lacked by ...@@@,,preposition from {claxu},,,,,BAI,yes,preposition,,lacked by ...,,,"claxu modal, 1st place lacked by ...",cau,"
'''cau''' <small>[preposition from {claxu}]</small> — @@@lacked by ...@@@",cau,preposition from {claxu},@@@lacked by ...@@@,,preposition from {claxu},,,,,BAI,yes,preposition,,lacked by ...,,,,,,
te fi'e,"
'''te fi'e''' <small>[preposition from {te} {finti}]</small> — @@@created with purpose ...@@@
:'''i le za'u mei ba'o pilno lo minji pe te fi'e lo nu cpacu lo ctile''' — ''They no longer use machines created to get oil.''",te fi'e,preposition from {te} {finti},@@@created with purpose ...@@@,,preposition from {te} {finti},,,,,BAI,yes,preposition,,with purpose ...,,,"finti modal, 3rd place creatively; created for purpose ...
",te fi'e,"
'''te fi'e''' <small>[preposition from {te} {finti}]</small> — @@@created with purpose ...@@@
:'''i le mi'u za'u mei ba'o pilno le minji pe te fi'e le nu cpacu le ctile''' — ''They no longer use machines created to get oil.''",te fi'e,preposition from {te} {finti},@@@created with purpose ...@@@,,preposition from {te} {finti},,,,,BAI,yes,preposition,,with purpose ...,,,,,,
ci'e,"
'''ci'e''' <small>[preposition from {ciste}]</small> — @@@in system/context ...@@@
:'''i ci'e la internet lo vrici prenu ka'e jikca zu'ai''' — ''In the system of the internet, various people can socialize with each other.''",ci'e,preposition from {ciste},@@@in system/context ...@@@,,preposition from {ciste},,,,,BAI,yes,preposition,,"in system ..., in context ...",,,"ciste modal, 1st place used in scalar negation in system/context ...",ci'e,"
'''ci'e''' <small>[preposition from {ciste}]</small> — @@@in system/context ...@@@
:'''i ci'e la internet le vrici prenu ka'e jikca zu'ai''' — ''In the system of the internet, various people can socialize with each other.''",ci'e,preposition from {ciste},@@@in system/context ...@@@,,preposition from {ciste},,,,,BAI,yes,preposition,,"in system ..., in context ...",,,,,,
cu'u,"
'''cu'u''' <small>[preposition from {cusku}]</small> — @@@as said by ...@@@
:'''i cu'u la gleki la lojban cu vlipa bangu''' — ''As said by La Gleki, Lojban is a powerful language.''
:Comment: used for quotations.",cu'u,preposition from {cusku},@@@as said by ...@@@,used for quotations,preposition from {cusku},,,,,BAI,yes,preposition,,as said by ...,,,"cusku modal, 1st place (attribution/quotation) as said by source ...; used for quotation",cu'u,"
'''cu'u''' <small>[preposition from {cusku}]</small> — @@@as said by ...@@@
:'''i cu'u la gleki la lojban cu vlipa bangu''' — ''As said by La Gleki, Lojban is a powerful language.''
:Comment: used for quotations.",cu'u,preposition from {cusku},@@@as said by ...@@@,used for quotations,preposition from {cusku},,,,,BAI,yes,preposition,,as said by ...,,,,,,
se cau,"
'''se cau''' <small>[preposition from {se} {claxu}]</small> — @@@lacking ...@@@
:'''i lo pendo be mi be'o jo'u mi pu tsuku pa cizra stuzi se cau lo ka sanji le du'u le stuzi ka'e ckape''' — ''My friend and I arrived at a strange place lacking the awareness that it can be dangerous.''",se cau,preposition from {se} {claxu},@@@lacking ...@@@,,preposition from {se} {claxu},,,,,BAI*,yes,preposition,,lacking ...,,,"claxu modal, 1st place lacked by ...",se cau,"
'''se cau''' <small>[preposition from {se} {claxu}]</small> — @@@lacking ...@@@
:'''i le pendo be mi be'o jo'u mi pu tsuku pa cizra stuzi se cau le ka sanji le mi'u du'u le mi'u stuzi ka'e ckape''' — ''My friend and I arrived at a strange place lacking the awareness that it can be dangerous.''",se cau,preposition from {se} {claxu},@@@lacking ...@@@,,preposition from {se} {claxu},,,,,BAI*,yes,preposition,,lacking ...,,,,,,
de'i,"
'''de'i''' <small>[preposition from {detri}]</small> — @@@on date/time ...@@@ (date stamp follows)
:'''i de'i li ly ci dy pa mu mi pu zvati la nipon''' — ''On March 15 I was in Japan.''
:'''i de'i li cy pa ci mi'a cliva''' — ''We leave at 1 pm.''
:'''i mi'a cliva de'i li cy so my ci no''' — ''We leave at 9:30''
:Comment: {ny} is put before years, {ly} is put before months, {dy} is put before days, {cy} is put before hours, {my} is put before minutes, {sy} is put before seconds.",de'i,preposition from {detri},@@@on date/time ...@@@ (date stamp follows),"{ny} is put before years, {ly} is put before months, {dy} is put before days, {cy} is put before hours, {my} is put before minutes, {sy} is put before seconds",preposition from {detri},,,,,BAI,yes,preposition,,"on date/time ..., on time ...",,,"detri modal, 1st place (for letters) dated ... ; attaches date stamp",de'i,"
'''de'i''' <small>[preposition from {detri}]</small> — @@@on date/time ...@@@ (date stamp follows)
:'''i de'i li ly ci dy pa mu mi pu zvati la nipon''' — ''On March 15 I was in Japan.''
:'''i de'i li cy pa ci mi'a cliva''' — ''We leave at 1 pm.''
:'''i mi'a cliva de'i li cy so my ci no''' — ''We leave at 9:30''
:Comment: {ny} is put before years, {ly} is put before months, {dy} is put before days, {cy} is put before hours, {my} is put before minutes, {sy} is put before seconds.",de'i,preposition from {detri},@@@on date/time ...@@@ (date stamp follows),"{ny} is put before years, {ly} is put before months, {dy} is put before days, {cy} is put before hours, {my} is put before minutes, {sy} is put before seconds",preposition from {detri},,,,,BAI,yes,preposition,,"on date/time ..., on time ...",,,,,,
,---,di'o,preposition from {diklo},@@@bounded to location ...@@@,,preposition from {diklo},,,,,BAI,,preposition,,bounded to location ...,,,"diklo modal, 1st place in the location of ...",,---,di'o,preposition from {diklo},@@@bounded to location ...@@@,,preposition from {diklo},,,,,BAI,,preposition,,bounded to location ...,,,,,,
do'e,"
'''do'e''' <small>[preposition from {co'e}]</small> — preposition with the meaning unspecified or known from context
:'''i ti karda do'e lo valsi''' — ''It's a card with a word.''
:Comment: used in speech when it's hard to find an appropriate preposition on the fly.",do'e,preposition from {co'e},preposition with the meaning unspecified or known from context,used in speech when it's hard to find an appropriate preposition on the fly,preposition from {co'e},,,,,BAI,yes,preposition,unspecified thing,,,,elliptical/unspecified modal,do'e,"
'''do'e''' <small>[preposition from {co'e}]</small> — preposition with the meaning unspecified or known from context
:'''i ti karda do'e le valsi''' — ''It's a card with a word.''
:Comment: used in speech when it's hard to find an appropriate preposition on the fly.",do'e,preposition from {co'e},preposition with the meaning unspecified or known from context,used in speech when it's hard to find an appropriate preposition on the fly,preposition from {co'e},,,,,BAI,yes,preposition,unspecified thing,,,,,,,
du'i,"
'''du'i''' <small>[preposition from {dunli}]</small> — @@@as much as ...@@@, adverb: @@@equally@@@
:'''i mi'a du'i casnu lo mintu''' — ''We equally discussed the same.''
:'''i xu do pe du'i mi zukcfu''' — ''Are you as busy as I am?''
:Comment: noun after {du'i} is compared with x<sub>1</sub> of the clause, the clause itself describes the comparison.",du'i,preposition from {dunli},"@@@as much as ...@@@, adverb: @@@equally@@@","noun after {du'i} is compared with x<sub>1</sub> of the clause, the clause itself describes the comparison",preposition from {dunli},,,,,BAI,yes,preposition,,"as much as ..., equally",,,"dunli modal, 1st place (equalled by) equally; as much as ...",du'i,"
'''du'i''' <small>[preposition from {dunli}]</small> — @@@as much as ...@@@, adverb: @@@equally@@@
:'''i mi'a du'i casnu le mintu''' — ''We equally discussed the same.''
:'''i xu do pe du'i mi zukcfu''' — ''Are you as busy as I am?''
:Comment: noun after {du'i} is compared with x<sub>1</sub> of the clause, the clause itself describes the comparison.",du'i,preposition from {dunli},"@@@as much as ...@@@, adverb: @@@equally@@@","noun after {du'i} is compared with x<sub>1</sub> of the clause, the clause itself describes the comparison",preposition from {dunli},,,,,BAI,yes,preposition,,"as much as ..., equally",,,,,,
,---,du'o,preposition from {djuno},"@@@according to ...@@@, @@@known by ...@@@, adverb: @@@authoritatively@@@",,preposition from {djuno},,,,,BAI,,preposition,,"according to ..., known by ..., authoritatively",,,"djuno modal, 1st place (info source) authoritatively; according to ...; known by ...",,---,du'o,preposition from {djuno},"@@@according to ...@@@, @@@known by ...@@@, adverb: @@@authoritatively@@@",,preposition from {djuno},,,,,BAI,,preposition,,"according to ..., known by ..., authoritatively",,,,,,
fau,"
'''fau''' <small>[preposition]</small> — @@@with the event of ...@@@
:'''i fau lo nu do djica vau ko cpedu fi mi''' — ''If you want, ask me.''
:'''i ro da zo'u fau ro nu do nitcu da vau ko da lebna''' — ''Whenever you need something, take it.''
:'''i fau ro da da'i mi snada''' — ''I would succeed anyway.''
:'''i da'i ma fasnu fau lo nu ro remna no roi sipna''' — ''What would happen if humans never slept?''",fau,preposition,@@@with the event of ...@@@,,preposition from {fasnu},,,,,BAI,yes,preposition,,with the event of ...,,,"fasnu modal, 1st place (non-causal) in the event of ...",fau,"
'''fau''' <small>[preposition]</small> — @@@with the event of ...@@@
:'''i fau le nu do djica vau ko cpedu fi mi''' — ''If you want, ask me.''
:'''i ro da zo'u fau ro nu do nitcu da vau ko da lebna''' — ''Whenever you need something, take it.''
:'''i fau ro da da'i mi snada''' — ''I would succeed anyway.''
:'''i da'i ma fasnu fau le nu ro remna no roi sipna''' — ''What would happen if humans never slept?''",fau,preposition,@@@with the event of ...@@@,,preposition from {fasnu},,,,,BAI,yes,preposition,,with the event of ...,,,,,,
se la'u,"
'''se la'u''' <small>[preposition]</small> — @@@to the degree of ... (number follows)@@@
:'''i le prenu cu clani se la'u li so'i''' — ''The person is very tall.''
:'''i lo nu cuxna se la'u li du'e nandu''' — ''It's too hard to choose.''
:'''i ti se la'u li so'o boske''' — ''This is jungle, not a real forest.''
:'''i le dinju se la'u li so'i banli''' — ''To a large degree the building is great.''
:Comment: shows the degree in which the verb is true.",se la'u,preposition,@@@to the degree of ... (number follows)@@@,shows the degree in which the verb is true,preposition from {se} {klani},,,,,BAI,yes,preposition,,to the degree of ...,,,"klani modal, 2nd place in quantity ...; measured as ...",se la'u,"
'''se la'u''' <small>[preposition]</small> — @@@to the degree of ... (number follows)@@@
:'''i le mi'u prenu cu clani se la'u li so'i''' — ''The person is very tall.''
:'''i le nu cuxna se la'u li du'e nandu''' — ''It's too hard to choose.''
:'''i ti se la'u li so'o boske''' — ''This is jungle, not a real forest.''
:'''i le mi'u dinju se la'u li so'i banli''' — ''To a large degree the building is great.''
:Comment: shows the degree in which the verb is true.",se la'u,preposition,@@@to the degree of ... (number follows)@@@,shows the degree in which the verb is true,preposition from {se} {klani},,,,,BAI,yes,preposition,,to the degree of ...,,,,,,
,---,fi'e,preposition from {finti},@@@created by ...@@@,,preposition from {finti},,,,,BAI,,preposition,,created by ...,,,"finti modal, 1st place (creator) created by ...",,---,fi'e,preposition from {finti},@@@created by ...@@@,,preposition from {finti},,,,,BAI,,preposition,,created by ...,,,,,,
ga'a,"
'''ga'a''' <small>[preposition from {zgana}]</small> — @@@to observer ...@@@, @@@observed by ...@@@, adverb: @@@being observed@@@
:'''i ga'a mi ca cerni''' — ''To me it's morning now.''
:Comment: not limited to vision. When used as a preposition (with a noun after it) the clause itself describes what is being observed. When used after {ne} the clause itself describes sense via one observes.",ga'a,preposition from {zgana},"@@@to observer ...@@@, @@@observed by ...@@@, adverb: @@@being observed@@@",not limited to vision. When used as a preposition (with a noun after it) the clause itself describes what is being observed. When used after {ne} the clause itself describes sense via one observes,preposition from {zgana},,,,,BAI,yes,preposition,,"to observer ..., observed by ..., being observed",,,"zgana modal, 1st place to observer ... ; witnessed by ...",ga'a,"
'''ga'a''' <small>[preposition from {zgana}]</small> — @@@to observer ...@@@, @@@observed by ...@@@, adverb: @@@being observed@@@
:'''i ga'a mi ca cerni''' — ''To me it's morning now.''
:Comment: not limited to vision. When used as a preposition (with a noun after it) the clause itself describes what is being observed. When used after {ne} the clause itself describes sense via one observes.",ga'a,preposition from {zgana},"@@@to observer ...@@@, @@@observed by ...@@@, adverb: @@@being observed@@@",not limited to vision. When used as a preposition (with a noun after it) the clause itself describes what is being observed. When used after {ne} the clause itself describes sense via one observes,preposition from {zgana},,,,,BAI,yes,preposition,,"to observer ..., observed by ..., being observed",,,,,,
gau,"
'''gau''' <small>[preposition from {gasnu}]</small> — @@@with active agent ...@@@
:'''i ba gau mi do cliva''' — ''I will make you leave.''
:'''i mi pu jai gau citka fai le verba''' — ''I fed the child.''
:Comment: the clause describes the event cause by the agent; agent/ergative case tag.",gau,preposition from {gasnu},@@@with active agent ...@@@,the clause describes the event cause by the agent, agent/ergative case tag,preposition from {gasnu},,,,,BAI,yes,preposition,,with active agent ...,,,"gasnu modal, 1st place agent/actor case tag with active agent ...",gau,"
'''gau''' <small>[preposition from {gasnu}]</small> — @@@with active agent ...@@@
:'''i ba gau mi do cliva''' — ''I will make you leave.''
:'''i mi pu jai gau citka fai le mi'u verba''' — ''I fed the child.''
:Comment: the clause describes the event cause by the agent; agent/ergative case tag.",gau,preposition from {gasnu},@@@with active agent ...@@@,the clause describes the event cause by the agent, agent/ergative case tag,preposition from {gasnu},,,,,BAI,yes,preposition,,with active agent ...,,,,
ja'e,"
'''ja'e''' <small>[preposition from {jalge}]</small> — @@@resulting in ...@@@
:'''i pu lerci i ja'e bo mi pu bilga lo ka volta''' — ''I was late. Therefore, I had to return.''
:'''i mi pu tatpi i ja'e bo mi co'a sipna''' — ''I was so tired that I fell asleep.''",ja'e,preposition from {jalge},@@@resulting in ...@@@,,preposition from {jalge},,,,,BAI,yes,preposition,,resulting in ...,,,"jalge modal, 1st place resultingly; therefore result ...",ja'e,"
'''ja'e''' <small>[preposition from {jalge}]</small> — @@@resulting in ...@@@
:'''i pu lerci i ja'e bo mi pu bilga le ka volta''' — ''I was late. Therefore, I had to return.''
:'''i mi pu tatpi i ja'e bo mi co'a sipna''' — ''I was so tired that I fell asleep.''",ja'e,preposition from {jalge},@@@resulting in ...@@@,,preposition from {jalge},,,,,BAI,yes,preposition,,resulting in ...,,,,,,
se ja'e,"
'''se ja'e''' <small>[preposition from {se} {jalge}]</small> — @@@resulting from ...@@@
:'''i se ja'e lo ka pu cinmo lo mabla vau mi pu gunka no da''' — ''Because of my bad mood I didn't work.''",se ja'e,preposition from {se} {jalge},@@@resulting from ...@@@,,preposition from {se} {jalge},,,,,BAI*,yes,preposition,,resulting from ...,,,"jalge modal, 1st place resultingly; therefore result ...",se ja'e,"
'''se ja'e''' <small>[preposition from {se} {jalge}]</small> — @@@resulting from ...@@@
:'''i se ja'e le ka pu cinmo le mabla vau mi pu gunka no da''' — ''Because of my bad mood I didn't work.''",se ja'e,preposition from {se} {jalge},@@@resulting from ...@@@,,preposition from {se} {jalge},,,,,BAI*,yes,preposition,,resulting from ...,,,,,,
ji'e,"
'''ji'e''' <small>[preposition from {jimte}]</small> — @@@up to limit ...@@@, @@@to the degree of ...@@@, adverb: @@@limitedly@@@
:'''i mi tsali ji'e lo nu mi ka'e lafti lo pipno''' — ''I'm strong to the degree that I can lift the piano.''
:'''i la kevin cu ricfu ji'e lo nu ri ponse so'i dinju''' — ''Kevin is so rich that he owns several houses.''",ji'e,preposition from {jimte},"@@@up to limit ...@@@, @@@to the degree of ...@@@, adverb: @@@limitedly@@@",,preposition from {jimte},,,,,BAI,yes,preposition,,"up to limit ..., to the degree of ..., limitedly",,,"jimte modal, 1st place limitedly; up to limit ...",ji'e,"
'''ji'e''' <small>[preposition from {jimte}]</small> — @@@up to limit ...@@@, @@@to the degree of ...@@@, adverb: @@@limitedly@@@
:'''i mi tsali ji'e le nu mi ka'e lafti le pipno''' — ''I'm strong to the degree that I can lift the piano.''
:'''i la kevin cu ricfu ji'e le nu ri ponse so'i dinju''' — ''Kevin is so rich that he owns several houses.''",ji'e,preposition from {jimte},"@@@up to limit ...@@@, @@@to the degree of ...@@@, adverb: @@@limitedly@@@",,preposition from {jimte},,,,,BAI,yes,preposition,,"up to limit ..., to the degree of ..., limitedly",,,,,,
se ji'u,"
'''se ji'u''' <small>[preposition from {se} {jicmu}]</small> — @@@given that ...@@@, @@@based on ...@@@
:'''i ma pemci se ji'u le se sanga''' — ''What is the lyrics of the song?''",se ji'u,preposition from {se} {jicmu},"@@@given that ...@@@, @@@based on ...@@@",,preposition from {se} {jicmu},,,,,BAI*,yes,preposition,,"given that ..., based on ...",,,"jicmu modal, 1st place (assumptions); given that ...; based on ...",se ji'u,"
'''se ji'u''' <small>[preposition from {se} {jicmu}]</small> — @@@given that ...@@@, @@@based on ...@@@
:'''i ma pemci se ji'u le mi'u se sanga''' — ''What is the lyrics of the song?''",se ji'u,preposition from {se} {jicmu},"@@@given that ...@@@, @@@based on ...@@@",,preposition from {se} {jicmu},,,,,BAI*,yes,preposition,,"given that ..., based on ...",,,,,,
se ka'a,"
'''se ka'a''' <small>[preposition from {se} {klama}]</small> — @@@going to ...@@@
:'''i mi pu cadzu se ka'a le rirxe''' — ''I walked to the river.''
:Comment: in the clause where {se}{ka'a} is used x<sub>1</sub> is the one who goes.",se ka'a,preposition from {se} {klama},@@@going to ...@@@,in the clause where {se}{ka'a} is used x<sub>1</sub> is the one who goes,preposition from {se} {klama},,,,,BAI*,yes,preposition,,"going to ..., to ... (destination)",,,"klama modal, 1st place gone to by ...",se ka'a,"
'''se ka'a''' <small>[preposition from {se} {klama}]</small> — @@@going to ...@@@
:'''i mi pu cadzu se ka'a le mi'u rirxe''' — ''I walked to the river.''
:Comment: in the clause where {se}{ka'a} is used x<sub>1</sub> is the one who goes.",se ka'a,preposition from {se} {klama},@@@going to ...@@@,in the clause where {se}{ka'a} is used x<sub>1</sub> is the one who goes,preposition from {se} {klama},,,,,BAI*,yes,preposition,,"going to ..., to ... (destination)",,,,,,
